test_file,cohort,flag,precision@3,precision@5,precision@10,average_precision
liver_73.nii.gz,Pancreas,cancer_flag,0.3333333333333333,0.2,0.2,0.625
lung_070.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
lung_061.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
lung_029.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_345.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_304.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_165.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_102.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_191.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_261.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_021.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_098.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_279.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_005.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_045.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_204.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_214.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_292.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_198.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_056.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_125.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_339.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_392.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_095.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_298.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_331.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_372.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_411.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_311.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_096.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_042.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
pancreas_287.nii.gz,Pancreas,cancer_flag,1.0,1.0,1.0,1.0
liver_73.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.2,0.2,0.625
lung_070.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,1.0
lung_061.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,1.0
lung_029.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,1.0
pancreas_345.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,-0.0
pancreas_304.nii.gz,Pancreas,lesion_group,0.0,0.0,0.1,0.125
pancreas_165.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,-0.0
pancreas_102.nii.gz,Pancreas,lesion_group,1.0,1.0,0.8,0.9159722222222222
pancreas_191.nii.gz,Pancreas,lesion_group,1.0,1.0,0.9,0.9765432098765432
pancreas_261.nii.gz,Pancreas,lesion_group,1.0,0.8,0.7,0.8976190476190475
pancreas_021.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.6,0.8,0.6635912698412698
pancreas_098.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.8,0.7,0.8333333333333333
pancreas_279.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.2,0.4,0.5262896825396826
pancreas_005.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.8,0.8073412698412699
pancreas_045.nii.gz,Pancreas,lesion_group,1.0,1.0,0.8,0.9159722222222222
pancreas_204.nii.gz,Pancreas,lesion_group,1.0,0.8,0.7,0.8801587301587301
pancreas_214.nii.gz,Pancreas,lesion_group,1.0,1.0,0.9,0.9626543209876544
pancreas_292.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.4,0.6,0.7271825396825397
pancreas_198.nii.gz,Pancreas,lesion_group,1.0,1.0,0.7,0.9617346938775511
pancreas_056.nii.gz,Pancreas,lesion_group,1.0,0.8,0.8,0.8956845238095239
pancreas_125.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.7,0.6663265306122448
pancreas_339.nii.gz,Pancreas,lesion_group,1.0,1.0,0.7,0.9095238095238094
pancreas_392.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.6,0.6,0.6458333333333334
pancreas_095.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.6,0.7,0.6202947845804988
pancreas_298.nii.gz,Pancreas,lesion_group,1.0,1.0,1.0,1.0
pancreas_331.nii.gz,Pancreas,lesion_group,0.6666666666666666,0.4,0.6,0.6806878306878307
pancreas_372.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,-0.0
pancreas_411.nii.gz,Pancreas,lesion_group,0.3333333333333333,0.4,0.2,0.3666666666666667
pancreas_311.nii.gz,Pancreas,lesion_group,0.0,0.0,0.1,0.1
pancreas_096.nii.gz,Pancreas,lesion_group,0.0,0.2,0.1,0.2
pancreas_042.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,-0.0
pancreas_287.nii.gz,Pancreas,lesion_group,0.0,0.0,0.0,-0.0
pancreas_328.nii.gz,Colon,cancer_flag,1.0,1.0,0.8,1.0
liver_83.nii.gz,Colon,cancer_flag,0.3333333333333333,0.4,0.3,0.4666666666666667
lung_029.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
liver_73.nii.gz,Colon,cancer_flag,0.0,0.0,0.0,-0.0
liver_5.nii.gz,Colon,cancer_flag,0.0,0.0,0.0,-0.0
lung_081.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
lung_047.nii.gz,Colon,cancer_flag,1.0,0.8,0.7,0.8801587301587301
liver_125.nii.gz,Colon,cancer_flag,0.3333333333333333,0.6,0.6,0.5930555555555556
pancreas_308.nii.gz,Colon,cancer_flag,0.6666666666666666,0.4,0.2,0.5833333333333333
lung_037.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_165.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_208.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_212.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_011.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.9626543209876544
colon_162.nii.gz,Colon,cancer_flag,0.6666666666666666,0.8,0.9,0.8782627865961199
colon_007.nii.gz,Colon,cancer_flag,0.3333333333333333,0.4,0.5,0.5392857142857143
colon_041.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_216.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_193.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_005.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.9626543209876544
colon_117.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_030.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_072.nii.gz,Colon,cancer_flag,1.0,1.0,1.0,1.0
colon_077.nii.gz,Colon,cancer_flag,1.0,1.0,0.9,0.9888888888888889
pancreas_328.nii.gz,Colon,lesion_group,1.0,1.0,0.8,1.0
liver_83.nii.gz,Colon,lesion_group,0.3333333333333333,0.4,0.3,0.4666666666666667
lung_029.nii.gz,Colon,lesion_group,1.0,1.0,1.0,1.0
liver_73.nii.gz,Colon,lesion_group,0.0,0.0,0.0,-0.0
liver_5.nii.gz,Colon,lesion_group,0.0,0.0,0.0,-0.0
lung_081.nii.gz,Colon,lesion_group,1.0,1.0,1.0,1.0
lung_047.nii.gz,Colon,lesion_group,1.0,0.8,0.7,0.8801587301587301
liver_125.nii.gz,Colon,lesion_group,0.3333333333333333,0.6,0.6,0.5930555555555556
pancreas_308.nii.gz,Colon,lesion_group,0.6666666666666666,0.4,0.2,0.5833333333333333
lung_037.nii.gz,Colon,lesion_group,1.0,1.0,1.0,1.0
colon_165.nii.gz,Colon,lesion_group,0.0,0.4,0.3,0.3416666666666667
